id,nombre,sku,tipo,categorias,precio_PEN,precio_regular_PEN,precio_oferta_PEN,en_oferta,tallas,num_variaciones,descripcion,permalink,num_imagenes,imagenes
12820,Chaleco Lazos,,variable,"Chalecos, Full Denim, Nuevos Ingresos",139.00,139.00,139.00,False,"L, M, XL, XXL, xxxl",5,"-Tela Denim 70% algodón.
 -Dos lazos para amarrar
 -Ligero desflecado en la basta
 -tela ligera, rigida",https://konamoda.pe/product/chaleco-lazos-denim/,6,https://konamoda.pe/wp-content/uploads/2026/06/denim5portada-producto9.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim15.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim19.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim1.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim8.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim14.webp
12827,Palazzo Baggy,,variable,"Full Denim, Nuevos Ingresos, Pantalones",159.00,159.00,159.00,False,"L, M, XL, XXL, xxxl",5,"-Tela Denim 70% algodón, tela ligera y rigida
 -Elastico toda la pretina
 -Bolsillos a los costados
 -prenda corte holgado y parejo desde la cadera hasta
 el tobillo",https://konamoda.pe/product/palazzo-jean-baggy/,7,https://konamoda.pe/wp-content/uploads/2026/06/deni20.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim21.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim17.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim22.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim23.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim8.webp | https://konamoda.pe/wp-content/uploads/2026/06/denim3.webp
12675,Cárdigan Cloud Amarillo,,variable,"Cardigans, Nuevos Ingresos",119.00,119.00,119.00,False,"L, M, S, XL, XXL",5,"Tejido punto intermedio 
 Detalle de ondas en todos los bordes 
 Fresco, no da calor 
 Suave, ligeramente elástico 
 Cómodo y fluido 
 Tiene botones lo puedes usar abierto o cerrado",https://konamoda.pe/product/cardigan-cloud-amarillo/,6,https://konamoda.pe/wp-content/uploads/2026/03/Artboard-64_2.webp | https://konamoda.pe/wp-content/uploads/2026/03/SL2.webp | https://konamoda.pe/wp-content/uploads/2026/03/SL16.webp | https://konamoda.pe/wp-content/uploads/2026/03/celestecostadoweb.webp | https://konamoda.pe/wp-content/uploads/2026/03/Artboard-64_2.webp | https://konamoda.pe/wp-content/uploads/2026/03/Bstrap1.webp
12683,Cárdigan Cloud Verde,,variable,"Cardigans, Nuevos Ingresos",119.00,119.00,119.00,False,"L, M, S, XL, XXL",5,"Tejido punto intermedio 
 Detalle de ondas en todos los bordes 
 Fresco, no da calor 
 Suave, ligeramente elástico 
 Cómodo y fluido 
 Tiene botones lo puedes usar abierto o cerrado",https://konamoda.pe/product/cardigan-cloud-verde/,5,https://konamoda.pe/wp-content/uploads/2026/03/Artboard-64_5.webp | https://konamoda.pe/wp-content/uploads/2026/03/tallascloud.webp | https://konamoda.pe/wp-content/uploads/2026/03/SL4.webp | https://konamoda.pe/wp-content/uploads/2026/03/SL8.webp | https://konamoda.pe/wp-content/uploads/2026/03/Artboard-64_5.webp
12625,Ropa de baño Bali azul,,variable,"Nuevos Ingresos, Ropa de Baño",329.00,329.00,329.00,False,"L, M, XL, XXL",4,"Licra premium elaborada en Asia
 100% flexibley suave
 costuras fexibles y copas integradas sin varillas
 Entalle da soporte y seguridad",https://konamoda.pe/product/ropa-de-bano-bali-azul/,7,https://konamoda.pe/wp-content/uploads/2026/02/bb2.webp | https://konamoda.pe/wp-content/uploads/2026/02/bb1.webp | https://konamoda.pe/wp-content/uploads/2026/02/bb3.webp | https://konamoda.pe/wp-content/uploads/2026/02/bb5.webp | https://konamoda.pe/wp-content/uploads/2026/02/bb2.webp | https://konamoda.pe/wp-content/uploads/2026/02/IMG_5551.jpg | https://konamoda.pe/wp-content/uploads/2026/02/bb4.webp
12610,Shorts Holiday Moca,,variable,"Nuevos Ingresos, Shorts",129.00,129.00,129.00,False,"L, M, XL, XXL",4,"Tela Plisada, caída con movimiento
 Corte en A le permite dar vuelo y soltura
 Pretina elástico en la parte de atrás
 Aporta elegancia, versátil para todo look",https://konamoda.pe/product/shorts-holiday-marron/,6,https://konamoda.pe/wp-content/uploads/2026/02/HM5.png | https://konamoda.pe/wp-content/uploads/2026/02/HMoca3.png | https://konamoda.pe/wp-content/uploads/2026/02/HMoca.png | https://konamoda.pe/wp-content/uploads/2026/02/hm7.png | https://konamoda.pe/wp-content/uploads/2026/02/hm6.png | https://konamoda.pe/wp-content/uploads/2026/02/HM5.png
12571,Cárdigan Joy verde,,variable,"Cardigans, Nuevos Ingresos",119.00,119.00,119.00,False,"L, M, S, XL, XXL",5,"Tejido acrílico 100% ultra ligero
 Fresco, no da calor
 Suave y ligeramente elastico
 No rígido, cómodo y fluido
 Ideal para verano y climas cálidos",https://konamoda.pe/product/cardigan-joy-verde/,7,https://konamoda.pe/wp-content/uploads/2026/02/cverde2.webp | https://konamoda.pe/wp-content/uploads/2026/02/cverde2.webp | https://konamoda.pe/wp-content/uploads/2026/02/cverde4.webp | https://konamoda.pe/wp-content/uploads/2026/02/guiajoy.webp | https://konamoda.pe/wp-content/uploads/2026/02/cverde3.webp | https://konamoda.pe/wp-content/uploads/2026/02/joyv3.webp | https://konamoda.pe/wp-content/uploads/2026/02/Joy.webp
12564,Cárdigan Joy Celeste,,variable,"Cardigans, Nuevos Ingresos",119.00,119.00,119.00,False,"L, M, S, XL, XXL",5,"Tejido acrílico 100% ultra ligero
 Fresco, no da calor
 Suave y ligeramente elastico
 No rígido, cómodo y fluido
 Ideal para verano y climas cálidos",https://konamoda.pe/product/cardigan-joy-celeste/,9,https://konamoda.pe/wp-content/uploads/2026/02/cceleste4.webp | https://konamoda.pe/wp-content/uploads/2026/02/closeupceleste.webp | https://konamoda.pe/wp-content/uploads/2026/02/Joy.webp | https://konamoda.pe/wp-content/uploads/2026/02/cceleste3.webp | https://konamoda.pe/wp-content/uploads/2026/02/cceleste4.webp | https://konamoda.pe/wp-content/uploads/2026/02/closecelsee.webp | https://konamoda.pe/wp-content/uploads/2026/02/joyc6.webp | https://konamoda.pe/wp-content/uploads/2026/02/guiajoy.webp | https://konamoda.pe/wp-content/uploads/2026/02/cceleste2.webp
12545,Cárdigan Joy Rosa,,variable,"Cardigans, Nuevos Ingresos",119.00,119.00,119.00,False,"L, M, S, XL, XXL",5,"Tejido acrílico 100% ultra ligero
 Fresco, no da calor
 Suave y ligeramente elastico
 No rígido, cómodo y fluido
 Ideal para verano y climas cálidos",https://konamoda.pe/product/cardigan-joy-rosa/,6,https://konamoda.pe/wp-content/uploads/2026/02/crosa3.webp | https://konamoda.pe/wp-content/uploads/2026/02/crosa2.webp | https://konamoda.pe/wp-content/uploads/2026/02/crosa3.webp | https://konamoda.pe/wp-content/uploads/2026/02/crosa1.webp | https://konamoda.pe/wp-content/uploads/2026/02/sh4.webp | https://konamoda.pe/wp-content/uploads/2026/02/guiajoy.webp
12489,Shorts Holiday Fucsia,,variable,"Nuevos Ingresos, Shorts",129.00,129.00,129.00,False,"L, M, XL, XXL",4,"Tela Plisada, caída con movimiento
 Corte en A le permite dar vuelo y soltura
 Pretina elástico en la parte de atrás
 Aporta elegancia, versátil para todo look",https://konamoda.pe/product/shorts-holiday-fucsia-2/,7,https://konamoda.pe/wp-content/uploads/2026/02/sh2i.webp | https://konamoda.pe/wp-content/uploads/2026/02/sh2i.webp | https://konamoda.pe/wp-content/uploads/2026/02/crosa2.webp | https://konamoda.pe/wp-content/uploads/2026/02/sh1.webp | https://konamoda.pe/wp-content/uploads/2026/02/sh4.webp | https://konamoda.pe/wp-content/uploads/2026/01/SH2.webp | https://konamoda.pe/wp-content/uploads/2026/01/SHGT.webp
